accession,collection date,hap ID in correct,,,97,,,hap ID in XML,label ,acc,pat,day,order
KM233060,14/06/14,83,,,1,,,27,KM233051_ManoRiver_G3713p3_193,KM233051,G3713p3,193,26
KM233061,10/06/14,61,,,1,,,38,KM233062_ManoRiver_G3758_193,KM233062,G3758,193,37
KM233062,11/06/14,17,,,1,,,35,KM233059_ManoRiver_G3750p2_192,KM233059,G3750p2,192,34
KM233063,12/06/14,41,,,1,,,39,KM233063_ManoRiver_G3764_192,KM233063,G3764,192,38
KM233064,14/06/14,74,,,1,,,41,KM233065_ManoRiver_G3769p1_192,KM233065,G3769p1,192,40
KM233065,12/06/14,18,,,1,,,31,KM233069_ManoRiver_G3770p1_192,KM233069,G3770p1,192,44
KM233066,13/06/14,67,,,1,,,44,KM233071_ManoRiver_G3771_192,KM233071,G3771,192,46
KM233067,15/06/14,23,,,1,,,90,KM233118_ManoRiver_NM042p3_192,KM233118,NM042p3,192,93
KM233068,16/06/14,18,,,1,,,28,KM233052_ManoRiver_G3713p4_191,KM233052,G3713p4,191,27
KM233069,12/06/14,48,,,1,,,41,KM233066_ManoRiver_G3769p2_191,KM233066,G3769p2,191,41
KM233070,14/06/14,48,,,1,,,36,KM233060_ManoRiver_G3750p3_190,KM233060,G3750p3,190,35
KM233071,12/06/14,11,,,1,,,40,KM233064_ManoRiver_G3765p2_190,KM233064,G3765p2,190,39
KM233072,14/06/14,53,,,1,,,43,KM233070_ManoRiver_G3770p2_190,KM233070,G3770p2,190,45
KM233073,14/06/14,21,,,1,,,45,KM233072_ManoRiver_G3782_190,KM233072,G3782,190,47
KM233074,14/06/14,62,,,1,,,46,KM233073_ManoRiver_G3786_190,KM233073,G3786,190,48
KM233075,14/06/14,24,,,1,,,47,KM233074_ManoRiver_G3787_190,KM233074,G3787,190,49
KM233076,14/06/14,60,,,1,,,48,KM233075_ManoRiver_G3788_190,KM233075,G3788,190,50
KM233077,15/06/14,65,,,1,,,49,KM233076_ManoRiver_G3789p1_190,KM233076,G3789p1,190,51
KM233078,15/06/14,21,,,1,,,42,KM233067_ManoRiver_G3769p3_189,KM233067,G3769p3,189,42
KM233079,15/06/14,57,,,1,,,50,KM233077_ManoRiver_G3795_189,KM233077,G3795,189,52
KM233080,15/06/14,46,,,1,,,48,KM233078_ManoRiver_G3796_189,KM233078,G3796,189,53
KM233081,15/06/14,19,,,1,,,51,KM233079_ManoRiver_G3798_189,KM233079,G3798,189,54
KM233082,15/06/14,86,,,1,,,52,KM233080_ManoRiver_G3799_189,KM233080,G3799,189,55
KM233083,20/06/14,87,,,1,,,53,KM233081_ManoRiver_G3800_189,KM233081,G3800,189,56
KM233084,15/06/14,15,,,1,,,54,KM233082_ManoRiver_G3805p1_189,KM233082,G3805p1,189,57
KM233085,15/06/14,66,,,1,,,56,KM233084_ManoRiver_G3807_189,KM233084,G3807,189,59
KM233086,15/06/14,77,,,1,,,57,KM233085_ManoRiver_G3808_189,KM233085,G3808,189,60
KM233087,15/06/14,78,,,1,,,58,KM233086_ManoRiver_G3809_189,KM233086,G3809,189,61
KM233088,17/06/14,16,,,1,,,59,KM233087_ManoRiver_G3810p1_189,KM233087,G3810p1,189,62
KM233089,15/06/14,42,,,1,,,61,KM233089_ManoRiver_G3814_189,KM233089,G3814,189,64
KM233090,15/06/14,90,,,1,,,62,KM233090_ManoRiver_G3816_189,KM233090,G3816,189,65
KM233091,15/06/14,59,,,1,,,63,KM233091_ManoRiver_G3817_189,KM233091,G3817,189,66
KM233092,15/06/14,54,,,1,,,64,KM233092_ManoRiver_G3818_189,KM233092,G3818,189,67
KM233093,15/06/14,73,,,1,,,65,KM233093_ManoRiver_G3819_189,KM233093,G3819,189,68
KM233094,15/06/14,19,,,1,,,66,KM233094_ManoRiver_G3820_189,KM233094,G3820,189,69
KM233095,15/06/14,75,,,1,,,67,KM233095_ManoRiver_G3821_189,KM233095,G3821,189,70
KM233096,15/06/14,52,,,1,,,68,KM233096_ManoRiver_G3822_189,KM233096,G3822,189,71
KM233097,15/06/14,47,,,1,,,69,KM233097_ManoRiver_G3823_189,KM233097,G3823,189,72
KM233098,16/06/14,35,,,1,,,31,KM233068_ManoRiver_G3769p4_188,KM233068,G3769p4,188,43
KM233099,17/06/14,44,,,1,,,70,KM233098_ManoRiver_G3825p1_188,KM233098,G3825p1,188,73
KM233100,16/06/14,13,,,1,,,72,KM233100_ManoRiver_G3826_188,KM233100,G3826,188,75
KM233101,16/06/14,69,,,1,,,73,KM233101_ManoRiver_G3827_188,KM233101,G3827,188,76
KM233102,16/06/14,39,,,1,,,74,KM233102_ManoRiver_G3829_188,KM233102,G3829,188,77
KM233103,16/06/14,36,,,1,,,75,KM233103_ManoRiver_G3831_188,KM233103,G3831,188,78
KM233104,17/06/14,63,,,1,,,60,KM233088_ManoRiver_G3810p2_187,KM233088,G3810p2,187,63
KM233105,17/06/14,32,,,1,,,71,KM233099_ManoRiver_G3825p2_187,KM233099,G3825p2,187,74
KM233106,17/06/14,40,,,1,,,76,KM233104_ManoRiver_G3834_187,KM233104,G3834,187,79
KM233107,17/06/14,68,,,1,,,77,KM233105_ManoRiver_G3838_187,KM233105,G3838,187,80
KM233108,18/06/14,31,,,1,,,78,KM233106_ManoRiver_G3840_187,KM233106,G3840,187,81
KM233109,18/06/14,49,,,1,,,79,KM233107_ManoRiver_G3841_187,KM233107,G3841,187,82
KM233110,18/06/14,29,,,1,,,80,KM233108_ManoRiver_G3845_186,KM233108,G3845,186,83
KM233111,18/06/14,84,,,1,,,81,KM233109_ManoRiver_G3846_186,KM233109,G3846,186,84
KM233112,18/06/14,34,,,1,,,82,KM233110_ManoRiver_G3848_186,KM233110,G3848,186,85
KM233113,18/06/14,50,,,1,,,83,KM233111_ManoRiver_G3850_186,KM233111,G3850,186,86
KM233114,20/06/14,51,,,1,,,84,KM233112_ManoRiver_G3851_186,KM233112,G3851,186,87
KM233115,18/06/14,71,,,1,,,85,KM233113_ManoRiver_G3856p1_186,KM233113,G3856p1,186,88
KM233116,04/06/14,8,,,1,,,87,KM233115_ManoRiver_G3857_186,KM233115,G3857,186,90
KM233117,09/06/14,85,,,1,,,55,KM233083_ManoRiver_G3805p2_184,KM233083,G3805p2,184,58
KM233118,12/06/14,88,,,1,,,86,KM233114_ManoRiver_G3856p3_184,KM233114,G3856p3,184,89
