KM233064_ManoRiver_G3765p2_190|2014-06-14,KM233064,2014-06-14,41
KM233065_ManoRiver_G3769p1_192|2014-06-12,KM233065,2014-06-12,42
KM233066_ManoRiver_G3769p2_191|2014-06-13,KM233066,2014-06-13,42
KM233067_ManoRiver_G3769p3_189|2014-06-15,KM233067,2014-06-15,43
KM233068_ManoRiver_G3769p4_188|2014-06-16,KM233068,2014-06-16,28
KM233069_ManoRiver_G3770p1_192|2014-06-12,KM233069,2014-06-12,28
KM233070_ManoRiver_G3770p2_190|2014-06-14,KM233070,2014-06-14,29
KM233071_ManoRiver_G3771_192|2014-06-12,KM233071,2014-06-12,30
KM233072_ManoRiver_G3782_190|2014-06-14,KM233072,2014-06-14,26
KM233073_ManoRiver_G3786_190|2014-06-14,KM233073,2014-06-14,27
KM233074_ManoRiver_G3787_190|2014-06-14,KM233074,2014-06-14,45
KM233075_ManoRiver_G3788_190|2014-06-14,KM233075,2014-06-14,46
KM233076_ManoRiver_G3789p1_190|2014-06-14,KM233076,2014-06-14,47
KM233077_ManoRiver_G3795_189|2014-06-15,KM233077,2014-06-15,48
KM233078_ManoRiver_G3796_189|2014-06-15,KM233078,2014-06-15,46
KM233079_ManoRiver_G3798_189|2014-06-15,KM233079,2014-06-15,49
KM233080_ManoRiver_G3799_189|2014-06-15,KM233080,2014-06-15,50
KM233081_ManoRiver_G3800_189|2014-06-15,KM233081,2014-06-15,51
KM233082_ManoRiver_G3805p1_189|2014-06-15,KM233082,2014-06-15,76
KM233083_ManoRiver_G3805p2_184|2014-06-20,KM233083,2014-06-20,52
KM233084_ManoRiver_G3807_189|2014-06-15,KM233084,2014-06-15,53
KM233085_ManoRiver_G3808_189|2014-06-15,KM233085,2014-06-15,54
KM233086_ManoRiver_G3809_189|2014-06-15,KM233086,2014-06-15,55
KM233087_ManoRiver_G3810p1_189|2014-06-15,KM233087,2014-06-15,56
KM233088_ManoRiver_G3810p2_187|2014-06-17,KM233088,2014-06-17,57
KM233089_ManoRiver_G3814_189|2014-06-15,KM233089,2014-06-15,68
KM233090_ManoRiver_G3816_189|2014-06-15,KM233090,2014-06-15,70
KM233091_ManoRiver_G3817_189|2014-06-15,KM233091,2014-06-15,69
KM233092_ManoRiver_G3818_189|2014-06-15,KM233092,2014-06-15,62
KM233093_ManoRiver_G3819_189|2014-06-15,KM233093,2014-06-15,63
KM233094_ManoRiver_G3820_189|2014-06-15,KM233094,2014-06-15,64
KM233095_ManoRiver_G3821_189|2014-06-15,KM233095,2014-06-15,65
KM233096_ManoRiver_G3822_189|2014-06-15,KM233096,2014-06-15,66
KM233097_ManoRiver_G3823_189|2014-06-15,KM233097,2014-06-15,67
KM233098_ManoRiver_G3825p1_188|2014-06-16,KM233098,2014-06-16,59
KM233099_ManoRiver_G3825p2_187|2014-06-17,KM233099,2014-06-17,60
KM233100_ManoRiver_G3826_188|2014-06-16,KM233100,2014-06-16,71
KM233101_ManoRiver_G3827_188|2014-06-16,KM233101,2014-06-16,72
KM233102_ManoRiver_G3829_188|2014-06-16,KM233102,2014-06-16,58
KM233103_ManoRiver_G3831_188|2014-06-16,KM233103,2014-06-16,73
KM233104_ManoRiver_G3834_187|2014-06-17,KM233104,2014-06-17,61
KM233105_ManoRiver_G3838_187|2014-06-17,KM233105,2014-06-17,74
KM233106_ManoRiver_G3840_187|2014-06-17,KM233106,2014-06-17,75
KM233107_ManoRiver_G3841_187|2014-06-17,KM233107,2014-06-17,77
KM233108_ManoRiver_G3845_186|2014-06-18,KM233108,2014-06-18,83
KM233109_ManoRiver_G3846_186|2014-06-18,KM233109,2014-06-18,85
KM233110_ManoRiver_G3848_186|2014-06-18,KM233110,2014-06-18,86
KM233111_ManoRiver_G3850_186|2014-06-18,KM233111,2014-06-18,87
KM233112_ManoRiver_G3851_186|2014-06-18,KM233112,2014-06-18,88
KM233113_ManoRiver_G3856p1_186|2014-06-18,KM233113,2014-06-18,89
KM233114_ManoRiver_G3856p3_184|2014-06-20,KM233114,2014-06-20,90
KM233115_ManoRiver_G3857_186|2014-06-18,KM233115,2014-06-18,91
KM233116_ManoRiver_NM042p1_200|2014-06-04,KM233116,2014-06-04,92
KM233117_ManoRiver_NM042p2_195|2014-06-09,KM233117,2014-06-09,84
KM233118_ManoRiver_NM042p3_192|2014-06-12,KM233118,2014-06-12,93
KM034549_ManoRiver_EM095B_203|2014-06-01,KM034549,2014-06-01,96
KM034550_ManoRiver_EM095_203|2014-06-01,KM034550,2014-06-01,94
KM034551_ManoRiver_EM096_203|2014-06-01,KM034551,2014-06-01,95
KM034552_ManoRiver_EM098_203|2014-06-01,KM034552,2014-06-01,78
KM034553_ManoRiver_G3670p1_203|2014-06-01,KM034553,2014-06-01,79
KM034554_ManoRiver_G3676p1_203|2014-06-01,KM034554,2014-06-01,80
KJ660346p2_Kissidougou_C15_277|2014-03-19,KJ660346,2014-03-19,97
KJ660347p2_Gueckedou_C07_276|2014-03-20,KJ660347,2014-03-20,98
KJ660348p2_Gueckedou_C05_279|2014-03-17,KJ660348,2014-03-17,99
