correct accession	correct AKA	matched xml accession	matched xml AKA
KM233093	KM233093|Makona-G3819|2014-06-15	KM233101	KM233101_ManoRiver_G3827_188|2014-06-16
KM233092	KM233092|Makona-G3818|2014-06-15	KM233082	KM233082_ManoRiver_G3805p1_189|2014-06-15
KM233091	KM233091|Makona-G3817|2014-06-15	KM233087	KM233087_ManoRiver_G3810p1_189|2014-06-15
KM233090	KM233090|Makona-G3816|2014-06-15	KM233118	KM233118_ManoRiver_NM042p3_192|2014-06-12
KM233097	KM233097|Makona-G3823|2014-06-15	KM233074	KM233074_ManoRiver_G3787_190|2014-06-14
KM233096	KM233096|Makona-G3822|2014-06-15	KM233080	KM233080_ManoRiver_G3799_189|2014-06-15
KM233095	KM233095|Makona-G3821|2014-06-15	KM233103	KM233103_ManoRiver_G3831_188|2014-06-16
KM233094	KM233094|Makona-G3820|2014-06-15	KM233041, KM233042	KM233041_ManoRiver_EM115_201|2014-06-03, KM233042_ManoRiver_EM119_201|2014-06-03
KM233099	KM233099|Makona-G3825.2|2014-06-17	KM233071	KM233071_ManoRiver_G3771_192|2014-06-12
KM233036	KM233036|Makona-EM106|2014-06-02	KM233083	KM233083_ManoRiver_G3805p2_184|2014-06-20
KP260801	KP260801|Makona-Mali-DPR3|2014-11-21	KP260801	KP260801|Makona-Mali-DPR3|2014-11-21
KP260800	KP260800|Makona-Mali-DPR2|2014-11-12	KP260800	KP260800|Makona-Mali-DPR2|2014-11-12
KM233037	KM233037|Makona-EM110|2014-06-03	KM233055, KM233068, KM233069	KM233055_ManoRiver_G3734p1_197|2014-06-07, KM233068_ManoRiver_G3769p4_188|2014-06-16, KM233069_ManoRiver_G3770p1_192|2014-06-12
KP260802	KP260802|Makona-Mali-DPR4|2014-11-12	KP260802	KP260802|Makona-Mali-DPR4|2014-11-12
KM233039	KM233039|Makona-EM112|2014-06-03	KM233070	KM233070_ManoRiver_G3770p2_190|2014-06-14
KM233038	KM233038|Makona-EM111|2014-06-03	KM233055, KM233068, KM233069	KM233055_ManoRiver_G3734p1_197|2014-06-07, KM233068_ManoRiver_G3769p4_188|2014-06-16, KM233069_ManoRiver_G3770p1_192|2014-06-12
KM233098	KM233098|Makona-G3825.1|2014-06-16	KM233059	KM233059_ManoRiver_G3750p2_192|2014-06-12
KM233044	KM233044|Makona-EM121|2014-06-04	KM233057	KM233057_ManoRiver_G3735p2_195|2014-06-09
KM233045	KM233045|Makona-EM124.1|2014-06-04	KM233084	KM233084_ManoRiver_G3807_189|2014-06-15
KM233046	KM233046|Makona-EM124.2|2014-06-06	KM233100	KM233100_ManoRiver_G3826_188|2014-06-16
KM233047	KM233047|Makona-EM124.3|2014-06-08	KM233035	KM233035_ManoRiver_EM104_202|2014-06-02
KM233040	KM233040|Makona-EM113|2014-06-03	KM034559	KM034559_ManoRiver_G3680p1_203|2014-06-01
KM233041	KM233041|Makona-EM115|2014-06-03	KM233086	KM233086_ManoRiver_G3809_189|2014-06-15
KM233042	KM233042|Makona-EM119|2014-06-03	KM233046	KM233046_ManoRiver_EM124p2_198|2014-06-06
KM233043	KM233043|Makona-EM120|2014-06-03	KM233104	KM233104_ManoRiver_G3834_187|2014-06-17
KM233048	KM233048|Makona-EM124.4|2014-06-09	KM233098	KM233098_ManoRiver_G3825p1_188|2014-06-16
KM233049	KM233049|Makona-G3707|2014-06-06	KM034560	KM034560_ManoRiver_G3682p1_203|2014-06-01
KJ660346	KJ660346|Makona-Kissidougou-C15|2014-03-17	KJ660346	KJ660346p2_Kissidougou_C15_277|2014-03-19
KJ660348	KJ660348|Makona-Gueckedou-C05|2014-03-19	KJ660348	KJ660348p2_Gueckedou_C05_279|2014-03-17
KM233118	KM233118|Makona-NM042.3|2014-06-12	KM233116	KM233116_ManoRiver_NM042p1_200|2014-06-04
KM233057	KM233057|Makona-G3735.2|2014-06-09	KM233066, KM233065	KM233066_ManoRiver_G3769p2_191|2014-06-13, KM233065_ManoRiver_G3769p1_192|2014-06-12
KM233056	KM233056|Makona-G3735.1|2014-06-07	KM233062	KM233062_ManoRiver_G3758_193|2014-06-11
KM233055	KM233055|Makona-G3734.1|2014-06-07	KM233092	KM233092_ManoRiver_G3818_189|2014-06-15
KM233054	KM233054|Makona-G3729|2014-06-07	KM233072	KM233072_ManoRiver_G3782_190|2014-06-14
KM233053	KM233053|Makona-G3724|2014-06-05	KM233061	KM233061_ManoRiver_G3752_194|2014-06-10
KM233052	KM233052|Makona-G3713.4|2014-06-13	KM233051	KM233051_ManoRiver_G3713p3_193|2014-06-11
KM233051	KM233051|Makona-G3713.3|2014-06-11	KM233050	KM233050_ManoRiver_G3713p2_195|2014-06-09
KM233050	KM233050|Makona-G3713.2|2014-06-09	KM233049	KM233049_ManoRiver_G3707_198|2014-06-06
KM233116	KM233116|Makona-NM042.1|2014-06-04	KM034558	KM034558_ManoRiver_G3679p1_203|2014-06-01
KM233117	KM233117|Makona-NM042.2|2014-06-09	KM233113	KM233113_ManoRiver_G3856p1_186|2014-06-18
KM233114	KM233114|Makona-G3856.3|2014-06-20	KM233079	KM233079_ManoRiver_G3798_189|2014-06-15
KM233115	KM233115|Makona-G3857|2014-06-18	KM233099	KM233099_ManoRiver_G3825p2_187|2014-06-17
KM233112	KM233112|Makona-G3851|2014-06-18	KM233058	KM233058_ManoRiver_G3750p1_194|2014-06-10
KM233113	KM233113|Makona-G3856.1|2014-06-18	KM233077	KM233077_ManoRiver_G3795_189|2014-06-15
KM233110	KM233110|Makona-G3848|2014-06-18	KM233053	KM233053_ManoRiver_G3724_199|2014-06-05
KM233058	KM233058|Makona-G3750.1|2014-06-10	KM233109	KM233109_ManoRiver_G3846_186|2014-06-18
KJ660347	KJ660347|Makona-Gueckedou-C07|2014-03-20	KJ660347	KJ660347p2_Gueckedou_C07_276|2014-03-20
KM233059	KM233059|Makona-G3750.2|2014-06-12	KM233110	KM233110_ManoRiver_G3848_186|2014-06-18
KM233111	KM233111|Makona-G3850|2014-06-18	KM233112	KM233112_ManoRiver_G3851_186|2014-06-18
KM034560	KM034560|Makona-G3682.1|2014-06-01	KM233054	KM233054_ManoRiver_G3729_197|2014-06-07
KM034561	KM034561|Makona-G3683.1|2014-06-01	KM034550	KM034550_ManoRiver_EM095_203|2014-06-01
KM034562	KM034562|Makona-G3686.1|2014-06-01	KM034549	KM034549_ManoRiver_EM095B_203|2014-06-01
KM034563	KM034563|Makona-G3687.1|2014-06-01	KM034551	KM034551_ManoRiver_EM096_203|2014-06-01
KM233068	KM233068|Makona-G3769.4|2014-06-16	KM233039, KM233040	KM233039_ManoRiver_EM112_201|2014-06-03, KM233040_ManoRiver_EM113_201|2014-06-03
KM233069	KM233069|Makona-G3770.1|2014-06-12	KM233078, KM233075	KM233078_ManoRiver_G3796_189|2014-06-15, KM233075_ManoRiver_G3788_190|2014-06-14
KM233062	KM233062|Makona-G3758|2014-06-11	KM233038	KM233038_ManoRiver_EM111_201|2014-06-03
KM233063	KM233063|Makona-G3764|2014-06-12	KM233066, KM233065	KM233066_ManoRiver_G3769p2_191|2014-06-13, KM233065_ManoRiver_G3769p1_192|2014-06-12
KM233060	KM233060|Makona-G3750.3|2014-06-14	KM233111	KM233111_ManoRiver_G3850_186|2014-06-18
KM233061	KM233061|Makona-G3752|2014-06-10	KM233089	KM233089_ManoRiver_G3814_189|2014-06-15
KM233066	KM233066|Makona-G3769.2|2014-06-13	KM233095	KM233095_ManoRiver_G3821_189|2014-06-15
KM233067	KM233067|Makona-G3769.3|2014-06-15	KM233047	KM233047_ManoRiver_EM124p3_196|2014-06-08
KM233064	KM233064|Makona-G3765.2|2014-06-14	KM233102	KM233102_ManoRiver_G3829_188|2014-06-16
KM233065	KM233065|Makona-G3769.1|2014-06-12	KM233039, KM233040	KM233039_ManoRiver_EM112_201|2014-06-03, KM233040_ManoRiver_EM113_201|2014-06-03
KM233101	KM233101|Makona-G3827|2014-06-16	KM233097	KM233097_ManoRiver_G3823_189|2014-06-15
KM233100	KM233100|Makona-G3826|2014-06-16	KM034563	KM034563_ManoRiver_G3687p1_203|2014-06-01
KM233103	KM233103|Makona-G3831|2014-06-16	KM233060	KM233060_ManoRiver_G3750p3_190|2014-06-14
KM233102	KM233102|Makona-G3829|2014-06-16	KM233063	KM233063_ManoRiver_G3764_192|2014-06-12
KM233105	KM233105|Makona-G3838|2014-06-17	KM233056	KM233056_ManoRiver_G3735p1_197|2014-06-07
KM233104	KM233104|Makona-G3834|2014-06-17	KM233091	KM233091_ManoRiver_G3817_189|2014-06-15
KM233107	KM233107|Makona-G3841|2014-06-17	KM233096	KM233096_ManoRiver_G3822_189|2014-06-15
KM233106	KM233106|Makona-G3840|2014-06-17	KM233064	KM233064_ManoRiver_G3765p2_190|2014-06-14
KM233109	KM233109|Makona-G3846|2014-06-18	KM233076	KM233076_ManoRiver_G3789p1_190|2014-06-14
KM233108	KM233108|Makona-G3845|2014-06-18	KM233055, KM233068, KM233069	KM233055_ManoRiver_G3734p1_197|2014-06-07, KM233068_ManoRiver_G3769p4_188|2014-06-16, KM233069_ManoRiver_G3770p1_192|2014-06-12
